id,Name_Eng,Name_Tel,Arohana_Swaras,Avarohana_Swaras,Arohana_Order,Avarohana_Order,category,melam_num,janaka_melam,janaka,chakra,alternates,one_swara_diff,src,is_vakra
60,vajra gandhi,వజ్రగాంధి,"['s', 'g2', 'm1', 'p', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 'r2', 's']",S|G2|M1|P|N2|S',S'|N2|D2|P|M1|G2|R2|S,ఔడవ-సంపూర్ణ,,22,ఖరహరప్రియ,,[],"['సుపోసిని', 'యువరాత్నికం', 'యువరత్న', ' యోగవతీ', 'యోగబోధిని']",Ragapravaham by Dhandapani MN& D Pattammal,0
61,dasharathi priya,దాశరధిప్రియ,"['s', 'm1', 'g3', 'm1', 'p', 'd2', 'n2', 'd2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g3', 'm1', 'r2', 's']",S|M1|G3|M1|P|D2|N2|D2|S',S'|N2|D2|P|M1|G3|M1|R2|S,షాడవ-సంపూర్ణ,,28,హరికాంభోజి,,[],"['షహానా', 'సుపోసిని', 'వృద్ధాసుముఖి', 'వివర్ధని', 'విశ్నభరణం']",Raga pravaha by Dhandapani MN & D pattammal,1
84,rasavali,రసావళి,"['s', 'r1', 'm1', 'p', 'd1', 'n2', 's.']","['s.', 'd1', 'p', 'm1', 'g1', 'r1', 's']",S|R1|M1|P|D1|N2|S',S'|D1|P|M1|G1|R1|S,షాడవ,,2,రత్నాంగి,,[],"['విరవిక్రమ', 'వీరవరాలి', 'విరాళ', 'విపులనంద', 'విజయోల్లాసిని']",Raga pravaha by Dhandapani MN & D pattammal,0
94,prabhupriya,ప్రభుప్రియ,"['s', 'g2', 'm1', 'p', 'd1', 's.']","['s.', 'd1', 'p', 'm1', 'g2', 's']",S|G2|M1|P|D1|S',S'|D1|P|M1|G2|S,ఔడవ,,8,హనుమతోడి,,[],"['యజ్హ్వల్లోన్', 'వితిక', 'వరితే', 'ఉదయారవి', 'తిరుచ్చనందన్']",,0
101,alankarapriya,అలంకారప్రియ,"['s', 'r1', 'g2', 'm1', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|D2|N2|S',S'|N2|D2|M1|G2|R1|S,షాడవ,,10,నాటకప్రియ,,[],"[' యోగవతీ', 'యోగబోధిని', 'యోగబోధన', 'వసంతకన్నడ', 'వరాంగి']",,0
143,susavali,సుసావళి,"['s', 'g3', 'm1', 'p', 'd1', 'n1', 's.']","['s.', 'n1', 'd1', 'm1', 'g3', 's']",S|G3|M1|P|D1|N1|S',S'|N1|D1|M1|G3|S,షాడవ-ఔడవ,,13,గాయకప్రియ,,[],"['గుర్జరి', 'యుద్ధప్రవర్తినీ', 'యోగప్రియ', 'యోగగాంధారి', 'యౌన్ని']",,0
145,kalasaveri,కళా సావేరి,"['s', 'r1', 'g2', 'p', 'n1', 's.']","['s.', 'n1', 'p', 'g2', 'r1', 's']",S|R1|G2|P|N1|S',S'|N1|P|G2|R1|S,ఔడవ,,7,సేనావతి,,[],,,0
159,kokilapriya,కోకిలప్రియ,"['s', 'r1', 'g2', 'm1', 'p', 'd2', 'n3', 's.']","['s.', 'n3', 'd2', 'p', 'm1', 'g2', 'r1', 's']",S|R1|G2|M1|P|D2|N3|S',S'|N3|D2|P|M1|G2|R1|S,సంపూర్ణ,11,,,నేత్ర,[],"['కుంజరి', ' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన']",,0
163,mathangagamini,మతంగగామిని,"['s', 'g2', 'm1', 'p', 'd2', 'n2', 's.']","['s.', 'n2', 'd2', 'p', 'm1', 'g2', 's']",S|G2|M1|P|D2|N2|S',S'|N2|D2|P|M1|G2|S,షాడవ,,10,నాటకప్రియ,,['గంగలన్'],"['నాగకురింజి', 'రుద్రప్రియా', 'సుపోసిని', ' యోగవతీ', 'యోగబోధిని']",,0
166,bramara kethana,భ్రమరకేతన,"['s', 'r1', 'g2', 'm1', 'p', 'n2', 'd1', 'n2', 's.']","['s.', 'n2', 'd1', 'p', 'm1', 'g2', 's']",S|R1|G2|M1|P|N2|D1|N2|S',S'|N2|D1|P|M1|G2|S,సంపూర్ణ-షాడవ,,8,హనుమతోడి,,[],"[' యోగవతీ', 'యోగగిరి', 'యోగబోధిని', 'యోగబోధన', 'యోగభైరవి']",Raga pravaha by Dhandapani MN & D pattammal,1
